identifier,tag_name
a93acb8f-0141-4cd3-8107-0d974e586362,shackleford-slue
a93acb8f-0141-4cd3-8107-0d974e586362,water
a93acb8f-0141-4cd3-8107-0d974e586362,water-quality
a93acb8f-0141-4cd3-8107-0d974e586362,ysi-datasonde
119fa435-32e2-419f-8dc0-e260727f6989,back-sound
119fa435-32e2-419f-8dc0-e260727f6989,calo
119fa435-32e2-419f-8dc0-e260727f6989,cape-lookout-national-seashore
119fa435-32e2-419f-8dc0-e260727f6989,carteret-county
119fa435-32e2-419f-8dc0-e260727f6989,continuous-water-quality-monitoring
119fa435-32e2-419f-8dc0-e260727f6989,environment
119fa435-32e2-419f-8dc0-e260727f6989,fixed-station
119fa435-32e2-419f-8dc0-e260727f6989,inlandwaters
119fa435-32e2-419f-8dc0-e260727f6989,long-term-water-quality-monitoring
119fa435-32e2-419f-8dc0-e260727f6989,monitoring
119fa435-32e2-419f-8dc0-e260727f6989,multi-parameter-water-quality-measurements
119fa435-32e2-419f-8dc0-e260727f6989,north-carolina
119fa435-32e2-419f-8dc0-e260727f6989,shackleford-banks
119fa435-32e2-419f-8dc0-e260727f6989,shackleford-slue
119fa435-32e2-419f-8dc0-e260727f6989,water
119fa435-32e2-419f-8dc0-e260727f6989,water-quality
119fa435-32e2-419f-8dc0-e260727f6989,ysi-datasonde
69d167ac-86ec-4636-86d8-5faf35bb64f2,back-sound
69d167ac-86ec-4636-86d8-5faf35bb64f2,calo
69d167ac-86ec-4636-86d8-5faf35bb64f2,cape-lookout-national-seashore
69d167ac-86ec-4636-86d8-5faf35bb64f2,carteret-county
69d167ac-86ec-4636-86d8-5faf35bb64f2,continuous-water-quality-monitoring
69d167ac-86ec-4636-86d8-5faf35bb64f2,environment
69d167ac-86ec-4636-86d8-5faf35bb64f2,fixed-station
69d167ac-86ec-4636-86d8-5faf35bb64f2,inlandwaters
69d167ac-86ec-4636-86d8-5faf35bb64f2,long-term-water-quality-monitoring
69d167ac-86ec-4636-86d8-5faf35bb64f2,monitoring
